timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
479793226,479790763,31044075,49.078753500000005,2.2543773,-0.918743,-2.1385663,2.2139947,-0.0069100135,-0.00015225113,0.25713933,0.002720611,-0.0014967275,0.026600454,0.029189883,-0.036898524,0.010050106,0.041895274,1.2224065,1.5783265,0.056234416,-0.5318337,0.01776818,99.7061,0.1,0.36090323,0.39272708,0.14455962,0.105804764,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479801788,479800720,31044075,49.078753500000005,2.2543773,-0.91860896,-2.1386578,2.2141814,-0.0069100135,-0.00015225113,0.25713933,-0.0022584908,0.00072175794,0.020528458,0.023018688,-0.036898524,0.010050106,0.041895274,0.17924565,2.3918762,-1.2652787,-0.531963,0.01776818,99.7061,0.1,0.36177897,0.3934104,0.14503422,0.10599325,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479813237,479810683,31044075,49.078753500000005,2.2543773,-0.918458,-2.138736,2.2143857,-0.0069100135,-0.00015225113,0.25713933,0.002775155,-0.0017898887,0.024752645,0.027146904,-0.036898524,0.010050106,0.041895274,0.47975555,1.5573378,-1.1901991,-0.5319321,0.01776818,99.7061,0.1,0.36265978,0.394096,0.14548042,0.10618214,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479821840,479820644,31044075,49.078753500000005,2.2543773,-0.9183342,-2.138808,2.2144673,-0.0069100135,-0.00015225113,0.25713933,-0.004971224,-0.0014784166,0.020158157,0.02233701,-0.036898524,0.010050106,0.041895274,-0.29575008,1.4024036,-2.0407624,-0.53198254,0.01776818,99.7061,0.1,0.36354557,0.3922961,0.14594167,0.10609032,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479833052,479830621,31044075,49.078753500000005,2.2543773,-0.9181736,-2.138867,2.2145503,-0.0069100135,-0.00015225113,0.25713933,0.0024123124,-0.0038812214,0.020258054,0.022229932,-0.036898524,0.010050106,0.041895274,-0.38117558,0.394996,-2.2611036,-0.53178036,0.01776818,99.7061,0.1,0.3644364,0.3929818,0.14640805,0.10627971,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479841734,479840599,31044075,49.078753500000005,2.2543773,-0.91804624,-2.1389189,2.214617,-0.0069100135,-0.00015225113,0.25713933,-0.0042184363,-0.007341976,0.02262856,0.024401588,-0.036898524,0.010050106,0.041895274,-0.35954988,-0.977494,-0.6408551,-0.5317543,0.01776818,99.7061,0.1,0.3653323,0.39366972,0.14682432,0.10646908,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479855174,479850604,31044075,49.078753500000005,2.2543773,-0.91838896,-2.1395183,2.2148714,-0.0069100135,-0.00015225113,0.25713933,-0.0072320644,-0.012983341,0.022830179,0.024569543,-0.036898524,0.010050106,0.041895274,-2.8685458,-2.530343,-1.5085961,-0.5314927,0.01776818,99.7061,0.1,0.34953046,0.39011648,0.1382144,0.10390736,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479861685,479860612,31044075,49.078753500000005,2.2543773,-0.9187439,-2.140099,2.2151172,-0.0069100135,-0.00015225113,0.25713933,0.0041209995,-0.00676482,0.029656736,0.031363126,-0.036898524,0.010050106,0.041895274,1.2059076,-1.0882455,0.9204854,-0.53114504,0.01776818,99.7061,0.1,0.35033742,0.3907808,0.13863689,0.10409526,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479873653,479870622,31044075,49.078753500000005,2.2543773,-0.9190558,-2.1406877,2.2153602,-0.0069100135,-0.00015225113,0.25713933,-0.003122147,-0.0068805185,0.025427207,0.027101317,-0.036898524,0.010050106,0.041895274,-1.084902,0.6415528,0.45094806,-0.5309409,0.01776818,99.7061,0.1,0.35114905,0.39144728,0.1390958,0.10428219,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479882924,479880629,31044075,49.078753500000005,2.2543773,-0.9193522,-2.1412482,2.2155821,-0.0069100135,-0.00015225113,0.25713933,0.008338363,-0.0042884788,0.029564867,0.031158686,-0.036898524,0.010050106,0.041895274,1.4891335,1.1236187,0.22163214,-0.5306136,0.01776818,99.7061,0.1,0.35196552,0.38967806,0.13953029,0.1042034,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
