timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
327570058,inf,0,1,1,1,0,0,1,0,0,1
328580540,inf,0,1,1,1,0,0,1,0,0,1
329590621,inf,0,1,1,1,0,0,1,1,0,1
330590981,inf,0,1,1,1,0,0,1,0,0,1
331591477,inf,0,1,1,1,0,0,1,0,0,1
332601238,inf,0,1,1,1,0,0,1,0,0,1
333611084,inf,0,1,1,1,0,0,1,0,0,1
334612871,inf,0,1,1,1,0,0,1,0,0,1
335614350,inf,0,1,1,1,0,0,1,0,0,1
336616050,inf,0,1,1,1,0,0,1,0,0,1
337617575,inf,0,1,1,1,0,0,1,0,0,1
338619943,inf,0,1,1,1,0,0,1,0,0,1
339629404,inf,0,1,1,1,0,0,1,0,0,1
340629871,inf,0,1,1,1,0,0,1,0,0,1
341630313,inf,0,1,1,1,0,0,1,0,0,1
342632911,inf,0,1,1,1,0,0,1,0,0,1
343633038,inf,0,1,1,1,0,0,1,0,0,1
344633470,inf,0,1,1,1,0,0,1,0,0,1
345643128,inf,0,1,1,1,0,0,1,0,0,1
346644573,inf,0,1,1,1,0,0,1,0,0,1
347644825,inf,0,1,1,1,0,0,1,0,0,1
348646485,inf,0,1,1,1,0,0,1,0,0,1
349646755,inf,0,1,1,1,0,0,1,0,0,1
350648259,inf,0,1,1,1,0,0,1,0,0,1
351648608,inf,0,1,1,1,0,0,1,0,0,1
352449042,inf,0,1,1,1,1,0,1,0,0,1
353449360,inf,0,1,1,1,1,0,1,0,0,1
353659488,inf,0,1,0,0,1,0,1,0,0,1
354099557,inf,0,0,0,0,1,0,0,0,0,1
355099904,inf,0,0,0,0,1,0,0,0,0,1
357103214,inf,0,0,0,0,1,0,0,1,0,1
358103608,inf,0,0,0,0,1,0,0,1,1,1
358663666,inf,0,0,0,0,0,0,0,1,1,1
359666018,inf,0,0,0,0,0,0,0,1,1,1
360677121,inf,0,0,0,0,0,0,0,0,0,1
361678304,inf,0,0,0,0,0,0,0,0,0,1
