Time (ms),humidity (%),temperature (C*)
59238,61.00,21.60,
59321,61.00,21.60,
59404,61.00,21.60,
59487,61.00,21.60,
59571,61.00,21.60,
59654,61.00,21.60,
59737,61.00,21.60,
59820,61.00,21.60,
59904,61.00,21.60,
59986,61.00,21.60,
60069,61.00,21.60,
60152,61.00,21.60,
60236,61.00,21.60,
60319,61.00,21.60,
60402,61.00,21.60,
60485,61.00,21.60,
60569,60.00,21.60,
60652,60.00,21.60,
60735,60.00,21.60,
60818,60.00,21.60,
60901,60.00,21.60,
60985,60.00,21.60,
61068,60.00,21.60,
61151,60.00,21.60,
61234,60.00,21.60,
61318,60.00,21.60,
61401,60.00,21.60,
61484,60.00,21.60,
61566,60.00,21.60,
61650,60.00,21.60,
61733,60.00,21.60,
61816,60.00,21.60,
61899,60.00,21.60,
61983,60.00,21.60,
62066,60.00,21.60,
62149,60.00,21.60,
62232,60.00,21.60,
62316,60.00,21.60,
62399,60.00,21.60,
62482,60.00,21.60,
62565,60.00,21.60,
62649,61.00,21.70,
62736,61.00,21.70,
62815,61.00,21.70,
62898,61.00,21.70,
62982,61.00,21.70,
63065,61.00,21.70,
63148,61.00,21.70,
63230,61.00,21.70,
63314,61.00,21.70,
63397,61.00,21.70,
63480,61.00,21.70,
63563,61.00,21.70,
63647,61.00,21.70,
63730,61.00,21.70,
63813,61.00,21.70,
63896,61.00,21.70,
63980,61.00,21.70,
64065,61.00,21.70,
64146,61.00,21.70,
64229,61.00,21.70,
64313,61.00,21.70,
64396,61.00,21.70,
64479,61.00,21.70,
64562,61.00,21.70,
64646,61.00,21.70,
64729,63.00,21.70,
64812,63.00,21.70,
64894,63.00,21.70,
64977,63.00,21.70,
65061,63.00,21.70,
65144,63.00,21.70,
65227,63.00,21.70,
65310,63.00,21.70,
65394,63.00,21.70,
65477,63.00,21.70,
65560,63.00,21.70,
65643,63.00,21.70,
65727,63.00,21.70,
65810,63.00,21.70,
65893,63.00,21.70,
65976,63.00,21.70,
66060,63.00,21.70,
66143,63.00,21.70,
66226,63.00,21.70,
66309,63.00,21.70,
66393,63.00,21.70,
66476,63.00,21.70,
66558,63.00,21.70,
66641,63.00,21.70,
66725,63.00,21.70,
66808,63.00,21.50,
66892,63.00,21.50,
66975,63.00,21.50,
67059,63.00,21.50,
67142,63.00,21.50,
67225,63.00,21.50,
67308,63.00,21.50,
67392,63.00,21.50,
67475,63.00,21.50,
67558,63.00,21.50,
67641,63.00,21.50,
67725,63.00,21.50,
67808,63.00,21.50,
67891,63.00,21.50,
67974,63.00,21.50,
68058,63.00,21.50,
68141,63.00,21.50,
68224,63.00,21.50,
68306,63.00,21.50,
68390,63.00,21.50,
68473,63.00,21.50,
68556,63.00,21.50,
68639,63.00,21.50,
68723,63.00,21.50,
68806,63.00,21.50,
68889,62.00,21.70,
68973,62.00,21.70,
69056,62.00,21.70,
69140,62.00,21.70,
69223,62.00,21.70,
69306,62.00,21.70,
69389,62.00,21.70,
