timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
254069620,0,0,1,0,0,0,0,0
254579483,0,0,1,0,0,0,0,0
255081160,0,0,1,0,0,0,0,0
255591114,0,0,1,0,0,0,0,0
256095489,0,0,1,0,0,0,0,0
256601521,0,0,1,0,0,0,0,0
257102486,0,0,1,0,0,0,0,0
257609522,0,0,1,0,0,0,0,0
258109555,0,0,1,0,0,0,0,0
258611544,0,0,1,0,0,0,0,0
259114523,0,0,1,0,0,0,0,0
259625747,0,0,1,0,0,0,0,0
260127130,0,0,1,0,0,0,0,0
260632722,0,0,1,0,0,0,0,0
261143530,0,0,1,0,0,0,0,0
261646548,0,0,1,0,0,0,0,0
262159194,0,0,1,0,0,0,0,0
262664901,0,0,1,0,0,0,0,0
263175739,0,0,1,0,0,0,0,0
263686541,0,0,1,0,0,0,0,0
264192854,0,0,1,0,0,0,0,0
264703485,0,0,1,0,0,0,0,0
265211576,0,0,1,0,0,0,0,0
265722592,0,0,1,0,0,0,0,0
266231484,0,0,1,0,0,0,0,0
266734491,0,0,1,0,0,0,0,0
267235134,0,0,1,0,0,0,0,0
267735485,0,0,1,0,0,0,0,0
268237118,0,0,1,0,0,0,0,0
268740324,0,0,1,0,0,0,0,0
269248488,0,0,1,0,0,0,0,0
269754527,0,0,1,0,0,0,0,0
270258515,0,0,1,0,0,0,0,0
270769628,0,0,1,0,0,0,0,0
271277483,0,0,1,0,0,0,0,0
271778753,0,0,1,0,0,0,0,0
272280627,0,0,1,0,0,0,0,0
272784180,0,0,1,0,0,0,0,0
273287535,0,0,1,0,0,0,0,0
273788599,0,0,1,0,0,0,0,0
274290719,0,0,1,0,0,0,0,0
274793321,0,0,1,0,0,0,0,0
275294556,0,0,1,0,0,0,0,0
275801617,0,0,1,0,0,0,0,0
276305485,0,0,1,0,0,0,0,0
276807503,0,0,1,0,0,0,0,0
277312483,0,0,1,0,0,0,0,0
277817613,0,0,1,0,0,0,0,0
278327521,0,0,1,0,0,0,0,0
278828689,0,0,1,0,0,0,0,0
279337481,0,0,1,0,0,0,0,0
279837532,0,0,1,0,0,0,0,0
280347699,0,0,1,0,0,0,0,0
280847884,0,0,1,0,0,0,0,0
281348673,0,0,1,0,0,0,0,0
281849074,0,0,1,0,0,0,0,0
282350645,0,0,1,0,0,0,0,0
282853634,0,0,1,0,0,0,0,0
283364616,0,0,1,0,0,0,0,0
283872524,0,0,1,0,0,0,0,0
284382550,0,0,1,0,0,0,0,0
284883854,0,0,1,0,0,0,0,0
285387598,0,0,1,0,0,0,0,0
285892485,0,0,1,0,0,0,0,0
286395628,0,0,1,0,0,0,0,0
286897536,0,0,1,0,0,0,0,0
287399524,0,0,1,0,0,0,0,0
287910605,0,0,1,0,0,0,0,0
288420654,0,0,1,0,0,0,0,0
288931129,0,0,1,0,0,0,0,0
289431525,0,0,1,0,0,0,0,0
289937120,0,0,1,0,0,0,0,0
290437540,0,0,1,0,0,0,0,0
290944551,0,0,1,0,0,0,0,0
291453485,0,0,1,0,0,0,0,0
291955540,0,0,1,0,0,0,0,0
292458704,0,0,1,0,0,0,0,0
292963075,0,0,1,0,0,0,0,0
293471513,0,0,1,0,0,0,0,0
293983715,0,0,1,0,0,0,0,0
294493490,0,0,1,0,0,0,0,0
294995551,0,0,1,0,0,0,0,0
295496524,0,0,1,0,0,0,0,0
296001606,0,0,1,0,0,0,0,0
296504503,0,0,1,0,0,0,0,0
297005276,0,0,1,0,0,0,0,0
297507508,0,0,1,0,0,0,0,0
298012777,0,0,1,0,0,0,0,0
298522578,0,0,1,0,0,0,0,0
299032102,0,0,1,0,0,0,0,0
299532789,0,0,1,0,0,0,0,0
300042493,0,0,1,0,0,0,0,0
300544511,0,0,1,0,0,0,0,0
301044518,0,0,1,0,0,0,0,0
301554520,0,0,1,0,0,0,0,0
302054606,0,0,1,0,0,0,0,0
302555018,0,0,1,0,0,0,0,0
303063580,0,0,1,0,0,0,0,0
303565514,0,0,1,0,0,0,0,0
304075521,0,0,1,0,0,0,0,0
304586540,0,0,1,0,0,0,0,0
