Time (ms),humidity (%),temperature (C*)
434629,50.00,22.30,
434713,50.00,22.30,
434798,50.00,22.30,
434882,50.00,22.30,
434966,50.00,22.30,
435051,50.00,22.30,
435135,50.00,22.30,
435219,50.00,22.30,
435303,50.00,22.30,
435388,50.00,22.30,
435472,50.00,22.30,
435556,50.00,22.30,
435640,50.00,22.30,
435725,50.00,22.30,
435809,50.00,22.30,
435893,50.00,22.30,
435977,50.00,22.30,
436062,50.00,22.30,
436146,50.00,22.10,
436231,50.00,22.10,
436315,50.00,22.10,
436399,50.00,22.10,
436484,50.00,22.10,
436568,50.00,22.10,
436652,50.00,22.10,
436736,50.00,22.10,
436820,50.00,22.10,
436904,50.00,22.10,
436988,50.00,22.10,
437073,50.00,22.10,
437157,50.00,22.10,
437241,50.00,22.10,
437325,50.00,22.10,
437410,50.00,22.10,
437494,50.00,22.10,
437578,50.00,22.10,
437662,50.00,22.10,
437747,50.00,22.10,
437831,50.00,22.10,
437915,50.00,22.10,
437999,50.00,22.10,
438084,50.00,22.10,
438168,50.00,22.10,
438253,50.00,22.10,
438337,50.00,22.10,
438421,50.00,22.10,
438506,50.00,22.10,
438590,50.00,22.10,
438674,50.00,22.10,
438758,50.00,22.10,
438843,50.00,22.10,
438927,50.00,22.10,
439011,50.00,22.10,
439095,50.00,22.10,
439180,50.00,22.10,
439264,50.00,22.10,
439348,50.00,22.10,
439433,50.00,22.10,
439517,50.00,22.10,
439601,50.00,22.10,
439685,50.00,22.10,
439770,50.00,22.10,
439854,50.00,22.10,
439938,50.00,22.10,
440022,50.00,22.10,
440107,50.00,22.10,
440190,51.00,22.10,
440275,51.00,22.10,
440359,51.00,22.10,
440443,51.00,22.10,
440528,51.00,22.10,
440612,51.00,22.10,
440696,51.00,22.10,
440780,51.00,22.10,
440865,51.00,22.10,
440949,51.00,22.10,
441033,51.00,22.10,
441117,51.00,22.10,
441202,51.00,22.10,
441286,51.00,22.10,
441370,51.00,22.10,
