timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
467834960,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.039377987,0.0012725883,3.3544563e-06,0.34430873,0.67775774,-9.783445,0.16313253,-0.27173853,0.35232648,35.86906,35.86906
467934986,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.0387571,0.0012106566,2.9657915e-06,0.25230286,0.24220581,-10.26167,0.09826673,-0.13193692,0.22363819,35.869057,35.869057
468035000,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.03798751,0.0012120517,2.624107e-06,0.31048676,0.67552054,-10.014864,-0.05908083,0.05578794,0.1536584,35.869057,35.869057
468135092,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.03950798,0.0012541865,2.3577102e-06,0.24628122,0.29959616,-9.969862,-0.09222719,0.040689796,0.1288624,35.802902,35.802902
468237649,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.041838482,0.0013700046,2.3806383e-06,0.43865594,0.8652521,-9.682392,0.043300748,-0.27516508,0.09895906,35.77108,35.77108
468338819,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.042240236,0.0013717354,2.2361803e-06,0.09496843,0.13822983,-10.122565,0.15194704,-0.1860288,0.062879466,35.77108,35.77108
468438853,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.040276285,0.0013874613,1.9974434e-06,-0.01024549,0.5579219,-10.309408,-0.11828157,0.097762,0.046309702,35.77108,35.77108
468543147,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043522205,0.0013261648,1.7538879e-06,0.38380283,0.6438111,-9.811224,-0.17459317,0.12114404,0.05185125,35.77108,35.77108
468647666,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043342657,0.0014059906,1.5520636e-06,0.17282383,0.44363183,-9.837236,-0.009983075,-0.03653195,0.050159775,35.771076,35.771076
468749042,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04268694,0.0012968733,1.3513469e-06,0.0034123436,0.037758294,-9.815237,0.13913096,-0.057847876,0.04391776,35.77108,35.77108
468851442,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.044136398,0.0013101111,1.2152415e-06,0.01773432,0.5304357,-9.950679,-0.02129066,0.022452237,0.03681452,35.77108,35.77108
468951490,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.042951576,0.0012957278,1.1386936e-06,0.17282751,0.5354612,-9.889825,-0.10490118,0.15235817,0.028669594,35.77108,35.77108
469053587,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.042571094,0.0013122471,1.0282263e-06,0.053477246,0.22906932,-9.845067,0.015684582,-0.011629198,-0.0120678,35.77108,35.77108
469157898,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043256097,0.0013112511,9.547307e-07,-0.14792109,0.4036586,-9.877461,0.02509773,-0.096959695,-0.061994806,35.687164,35.687164
469257984,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04153029,0.0012654399,9.4931346e-07,-0.16991723,0.21651621,-9.620562,-0.023664117,0.2667542,-0.027105005,35.67318,35.67318
469359081,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04230924,0.0012853335,1.2422148e-06,0.08023147,0.50066936,-9.422698,-0.09766681,0.42501935,-0.01203821,35.673176,35.673176
469459110,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04297707,0.0012964566,1.2245487e-06,-0.097279005,0.22579838,-9.945708,-0.0048528844,0.20167921,-0.048526123,35.67318,35.67318
